model_std,dataset_std,gold_label_std,prediction_std,error_transition,text_for_review,confidence,prob_negative,prob_neutral,prob_positive,source_dataset
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$CEI non stop ion after-hours. $GBR deserves some attention,0.8056023,0.00045828326,0.19393939,0.8056023,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,UPDATE 1-Flydubai chairman says could still buy Airbus A320s to replace MAX jets,0.9436601,0.0004838024,0.05585607,0.9436601,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Nodal Exchange Successfully Completes Migration of U.S. Power Open Interest from Nasdaq Futures, Inc.",0.95915735,0.0005663879,0.040276267,0.95915735,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Gartner Guides Light After Ending 2019 on a High Note,0.9976549,0.0003809517,0.001964096,0.9976549,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Ukraine still hasn't received $35 million of approved military aid: report https://t.co/N0yrGxtdQl via @HuffPost https://t.co/58RXm3xu0f,0.9833929,0.9833929,0.01630875,0.00029837003,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Stocks That Fell to 3-Year Lows in the Week of Dec. 13,0.9978733,0.9978733,0.0019214663,0.00020519852,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,"AUD/USD, NZD/USD, USD/CNY – Greenback Showing Slight Gains",0.96091574,0.0011655252,0.96091574,0.03791866,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,The U.S. Navy sailor who fatally shot two people at Pearl Harbor before killing himself was unhappy with his comman… https://t.co/ACPOHAtzzq,0.8541492,0.8541492,0.14528607,0.00056473014,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Fed Intervenes With $45.55 Billion Weekend Repo, But Overall Liquidity Ticks Down https://t.co/luXKbrLrXC",0.7491911,0.7491911,0.25045273,0.00035617469,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,"CuriosityStream, a streaming service devoted to science and nature has quietly amassed 10 million subscribers, more… https://t.co/bh8ZZdSJWv",0.99662787,0.00023675294,0.99662787,0.0031353529,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Why Aurora Cannabis Is Getting Hammered Today,0.9863295,0.003292377,0.9863295,0.010378109,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Lifeblood of Amazon merchants threatened as coronavirus infects Chinese workers,0.9894645,0.010301169,0.9894645,0.00023421102,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,$COUP - Coupa: Don't Buy Into Expensive Valuation Amid Decelerating Growth. Follow this and any other stock on Seek… https://t.co/hMB6opBASj,0.9993881,0.0003296322,0.9993881,0.0002822146,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,UK government admits Covid-19 antibody tests don't work https://t.co/u0mIhbtAjb,0.5893347,0.5893347,0.4100788,0.00058651523,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Ray Dalio fires back over hedge fund's reported $1.5B bet https://t.co/U12LP0cw9z via @FoxBusiness https://t.co/IOQZUBGFlf,0.90616876,0.90616876,0.093402684,0.0004285766,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,$PRGO: Perrigo reports preliminary 1Q20 revenue above consensus estimate; does not modify full-year guidance https://t.co/2YcDQYw1D7,0.89933765,0.89933765,0.03643595,0.06422641,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Fed policymakers working to limit damage as pandemic puts U.S. economy on pause https://t.co/QwCihVGWly https://t.co/ZRbeFgfAdo,0.9946301,0.0051543084,0.9946301,0.00021551872,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Trump: 'Exports would zoom' if Fed lowers rates,0.9987406,0.0003909254,0.00086851185,0.9987406,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Potential global slowdown stokes expectations of a cut in interest rates    https://t.co/9yTZa2vCnY,0.8606152,0.13535203,0.8606152,0.0040328293,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$TEVA - Teva in talks with DoJ to end generics probes - Bloomberg https://t.co/a47OmArrQY,0.99889874,0.0005055965,0.99889874,0.0005955889,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,"Why Ebix, Inc. (NASDAQ:EBIX) Should Be In Your Dividend Portfolio",0.99907696,0.0001720158,0.99907696,0.00075109414,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"Forget 'Ides Of March', Washington 'Storms Of December' Loom Over ""The Holidays"" https://t.co/KK7SgNSh1E",0.9980574,0.0017836457,0.9980574,0.00015895219,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Ruling on Ryanair bid to delay COO's easyJet move set for next week,0.6232888,0.6232888,0.3745099,0.0022012647,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Innodisk Group Strengthens AIoT Vision with Sysinno Acquisition,0.9758311,0.00017281625,0.02399611,0.9758311,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Mexico Official Complains About 3-Way Trade Deal in Tweetstorm,0.86112803,0.86112803,0.13834827,0.0005237303,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"With EPS Growth And More, Gencor Industries (NASDAQ:GENC) Is Interesting",0.9988049,0.0003335992,0.00086143834,0.9988049,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Carlisle Companies Extends $1 Billion Credit Facility,0.97062373,0.00032393239,0.029052375,0.97062373,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,U.S. markets have hit record levels recently. What's your next move?,0.9865849,0.007058279,0.9865849,0.006356814,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Stocks That Hit 52-Week Highs On Tuesday,0.856926,0.0013018305,0.14177221,0.856926,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Qualcomm forecasts 450 mln in global 5G phone sales in 2021,0.99579984,0.00027068486,0.0039294884,0.99579984,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Canada’s ‘Big Six’ banks are staging a comeback https://t.co/tU3FgRapuZ,0.99821484,0.00050943356,0.99821484,0.0012757179,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,A Healthy Consumer A Positive For The Economy. Get more updates here: https://t.co/KZX0xmhIm8 #stockmarket #investing #markets,0.9676807,0.00027113428,0.032048136,0.9676807,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,OPINION: Why did markets shrug off Boris Johnson's hospitalization? Because of robust confidence in U.K.'s parliame… https://t.co/yBTZY2BnGa,0.99793917,0.00023487618,0.99793917,0.0018259311,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,positive,negative → positive,Samsung Heavy Industries to pay $75 million to resolve foreign bribery case: U.S. #SamsungHeavyIndustries #Stock… https://t.co/XgTBQMro1V,0.9976629,0.00084255956,0.0014945582,0.9976629,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,A judge has temporarily blocked New York's new ban on broker fees paid by renters https://t.co/1QET3Td6Co,0.9150237,0.006056722,0.078919575,0.9150237,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,Lagging MLP upgraded at Goldman as new projects seen lifting cash flows,0.9972504,0.9972504,0.0025561068,0.00019349135,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Kodak Is Having a Comeback Moment as Oscars Embrace Film,0.99824226,0.00039963017,0.99824226,0.0013580903,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"Hackers have gained access to thousands of Disney+ user accounts, selling them for between $3 and $11, according to… https://t.co/WjNynp7g4w",0.98346853,0.016314054,0.98346853,0.00021733285,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,"RECAP 12/10 Unusual Calls:
$QSR Dec 67.5 C
$OXY Dec13 38.5 C
$CL Mar 75 C
$ARQL Apr 20 C
$LPI Jan 3 C
$JBLU Jan 20… https://t.co/Kg9YOYBDgF",0.9954516,0.9954516,0.0043863636,0.00016196696,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,3 Big Reasons Investors Are Bailing on New Relic,0.99914026,0.00056179345,0.99914026,0.0002979376,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,Corporate venture capital deals hit new record as banks invest in fintech competitors https://t.co/yNdMmEYskR,0.7654781,0.7654781,0.11184192,0.12267995,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,The Silver Lining in Ford's Struggling Chinese Market,0.8399377,0.8399377,0.15904145,0.0010208986,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,China braces for a wave of soured loans with a new bad-debt manager https://t.co/9iDZNKljqu,0.9913765,0.00840606,0.9913765,0.00021729531,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,The FRED Blog maps economic uncertainty around the globe—from seemingly rock-steady in Morocco and Mongolia to shak… https://t.co/ke7dpuRF5Z,0.8510045,0.8510045,0.14782646,0.001169048,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,The Hummingbird Project is a pretty good.,0.99264354,0.00019358376,0.0071628457,0.99264354,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"New Zealand’s central bank doesn’t expect its new bank capital rules to present a headwind for the economy, which l… https://t.co/YXwseGIYHw",0.983922,0.983922,0.01576204,0.00031601376,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Rains bring drought relief and hope to Australian farmers https://t.co/eTC9tqtevp,0.9968094,0.0007022806,0.9968094,0.0024882453,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Q4 GDP: Trudging Along. https://t.co/IQebEf5ooz #business #stockmarket #stocks,0.98369944,0.0011580453,0.015142518,0.98369944,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"'Jumanji' Sequel With Dwayne Johnson, Kevin Hart Tops Box Office",0.9836516,0.00036949367,0.015978929,0.9836516,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,YouTube's Smaller and Growing Slower Than Instagram,0.99736744,0.99736744,0.0024545405,0.00017796959,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Amazon set to open new grocery stores next year,0.96669436,0.00043039583,0.03287526,0.96669436,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Stocks This Week: Buy Nike And Autodesk,0.8587969,0.00068419584,0.8587969,0.14051887,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Don’t Expect the Roaring ’10s for Stocks to Repeat in the ’20s,0.77930224,0.055645004,0.16505276,0.77930224,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"China's GDP growth this quarter will be 0%, according to top economist Ed Hyman",0.9967789,0.0020305908,0.9967789,0.0011904837,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Highlight: ""Uber's vowed to appeal this decision,"" @tom_belger says after $UBER loses its London license over safet… https://t.co/1zo83OP3Ae",0.99579513,0.99579513,0.0038911027,0.0003137225,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Brookfield Asset Management loses a bull,0.9985702,0.9985702,0.0009922853,0.0004374413,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,$PYPL - PayPal's Honey Acquisition Makes No Sense. Subscribe to Seeking Alpha for more: https://t.co/wBY7mOoVa5… https://t.co/tulizfE8Vb,0.9910642,0.008791034,0.9910642,0.00014478834,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$CAL $TPR $FL - Comeback bid for apparel https://t.co/sLP0UuRWUM,0.9544497,0.00190421,0.9544497,0.043646034,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Morgan Stanley Sees Lower Truck Capacity, Higher Rates In 2020",0.99746966,0.99746966,0.0023531574,0.0001771364,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Virus Hits Hong Kong Insurers Already Reeling From Protests,0.9929639,0.9929639,0.0065386407,0.0004974393,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,U.S. arrests three in alleged $722 million cryptocurrency fraud https://t.co/r7JbcAUepE https://t.co/I6DBZ4xKzB,0.93674326,0.93674326,0.06243134,0.0008254267,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,How South Korea’s low birth rate adds to the case for QE https://t.co/GxY567Tu01,0.99893874,0.0009089158,0.99893874,0.00015233041,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Bond Investors Are Back, Even in Indonesia -- 2nd Update #taux #MarketScreener https://t.co/SU92cPOAcs https://t.co/5qO73S1lBu",0.99651587,0.00028457213,0.0031995685,0.99651587,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$ATRS - Antares' Xyosted Is One Of The Best Testosterone Replacement Therapies Available. Subscribe to Seeking Alph… https://t.co/k1aJ5ESVJc,0.97850865,0.00022798331,0.97850865,0.021263387,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"$TCCO insane, halted again...... Just 1.85M shares float, exaclty like $MYSZ lets see if we get good news to see also a big pop. Im long.",0.9537814,0.9537814,0.04572474,0.0004938114,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,$DBB - DBB: Renewed Weakness Driven By Zinc's Micro Fragility. Read more: https://t.co/nJrtsL0NJO #stocks #economy #trading,0.99871206,0.99871206,0.0009941682,0.00029378477,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"PNB Under-Reported Bad Loans By Rs 2,617 Crore In FY19",0.9984799,0.9984799,0.0011679108,0.00035219264,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,USD/JPY Weekly Price Forecast – Dollar Continues To Test Resistance,0.9043478,0.9043478,0.023631621,0.072020605,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$UFS - Why Buying Domtar Isn't Such A Mad Idea. Continue reading: https://t.co/ghbluALQhp #economy #trading #investing,0.85910016,0.0025871273,0.85910016,0.13831271,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,UPDATE 1-Novartis eyes Medicines Co to boost cardio franchise - report,0.9959794,0.00025801314,0.0037625455,0.9959794,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,$AAPL - Apple delays theatrical debut of 'The Banker' https://t.co/vAHWmIoXp8,0.99808985,0.99808985,0.0017158128,0.0001943291,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Why This Acquisition Could Be Huge for Collegium Pharma,0.99832124,0.00018092629,0.99832124,0.0014977966,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,"$hdge shorts getting killed today

https://t.co/EeN0kh6baB",0.9935376,0.9935376,0.0061869733,0.0002754126,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,$PALL - PALL: Palladium Market To Remain In Deficit In 2019 Despite The Contraction In Global Auto Output. Subscrib… https://t.co/5cIQV2pKns,0.99732107,0.99732107,0.0024781013,0.00020084952,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Tesla's made-in-China cars will qualify for subsidies there, a potential boon for the company https://t.co/7jDzEbGCsP",0.90100104,0.082131505,0.016867472,0.90100104,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"New for subscribers:  These stocks are 'good companies at better prices,' Morgan Stanley says… https://t.co/qJ9uZWNjKn",0.77940106,0.00045581683,0.22014308,0.77940106,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Coin Toss: Morgan Stanley Raises Tesla Bull Case To $500, Keeps Bear Case At $10 https://t.co/hjXizuPs7Z",0.98892957,0.00023980539,0.010830624,0.98892957,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"$BEAT seems extremely cheap, have not looked into why it has lagged so much this year, but screens well",0.9932505,0.00023297318,0.006516613,0.9932505,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Sensient Technologies (NYSE:SXT) Has A Somewhat Strained Balance Sheet,0.99826694,0.99826694,0.0015147282,0.00021824791,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Long $WMT,0.9980307,0.0011755084,0.9980307,0.0007938094,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Analyst: AT&T Is The Top Telecom Pick For 2020,0.9931271,0.00020347814,0.9931271,0.0066693453,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,A sterling surge after the UK election could be short-lived as Brexit gets even more complicated https://t.co/Ws30IATCNs,0.9310865,0.02001407,0.9310865,0.048899457,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,"Madhya Pradesh Vyapam Scam: Man Gets 10 Years, 30 Others Get 7 Years In Jail",0.99230766,0.0074864784,0.99230766,0.0002058379,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"YTD Performance:
Dow Jones: Red
30Y: +9%

https://t.co/scCDfO2eUv https://t.co/sO1bMzirbY",0.99799263,0.0003122097,0.0016952018,0.99799263,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,We got 3 pieces of good news about the U.S. economy on Wednesday: Morning Brief,0.9927918,0.0004098673,0.9927918,0.0067984276,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,"CITRON SAYS IT'S LONG ON LUCKIN COFFEE

MW vs CItron",0.96700144,0.00213966,0.96700144,0.030858979,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Miller Value Partners Likes These Two Stocks; Bearish on One,0.9923929,0.00028627084,0.0073208315,0.9923929,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,$AIKI my position remains intact. Buying dips.,0.99149674,0.99149674,0.008245919,0.00025727597,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,SHAREHOLDER INVESTIGATION: Halper Sadeh LLP Investigates Whether The Sale Of These Companies Is Fair To Shareholder… https://t.co/SPKfERlLfU,0.90111196,0.09847783,0.90111196,0.000410255,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,A federal grand jury has charged four members of the Chinese People's Liberation Army with hacking Equifax and stea… https://t.co/WlH2V7Nk2e,0.8579612,0.8579612,0.13089909,0.011139736,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Amazon’s Cloud Battle With Microsoft Weighs on AMZN Stock,0.9875975,0.012243129,0.9875975,0.00015926348,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"China attacks US at G20 as the world’s biggest source of instability- CNBC

https://t.co/pelfsYwKo7",0.6954187,0.6954187,0.30395874,0.0006225066,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$CPRI 👀..name got incredibly cheap few months ago,0.992568,0.00032786696,0.0071041924,0.992568,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,WATCH: Why is 2019 on pace to be the largest year ever for healthcare technology? @GoldmanSachs Investment Banking… https://t.co/TJKrWqal07,0.9982364,0.0014979737,0.9982364,0.00026562705,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Trade momentum rose in September for the first time in four months https://t.co/mdVAsk2sAd,0.998833,0.00033007018,0.0008369675,0.998833,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Saint-Gobain North America Announces Largest Renewable Energy Deal in Company’s 354-Year History,0.9994124,0.00028778586,0.9994124,0.0002997012,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"USD/JPY Forex Technical Analysis – Likely to Strengthen Over 108.866, Weaken Under 108.690",0.9276631,0.9276631,0.07012285,0.0022140914,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Retailers Call China Trade Agreement ‘Right Direction’ But Say a Final Deal is Needed,0.9989261,0.00042202586,0.9989261,0.00065186754,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"US indices are having the best year since 2013, but large cap active funds are poised to see the worst year since 2016: BofA",0.98642516,0.0028797025,0.010695113,0.98642516,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Apple has 'deep concerns' Chinese-born ex-employees could flee country with trade secrets https://t.co/lybSDAYibb v… https://t.co/quM3HRynDB,0.9930098,0.9930098,0.006788365,0.00020183228,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,positive,negative → positive,"U.S. job openings remained elevated in February, prior to the unprecedented surge in layoffs https://t.co/0XdZbEhmKj https://t.co/qX0INGsJYQ",0.9986909,0.0005640976,0.0007449952,0.9986909,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,The Trade Deal Will Intensify The U.S.-China Rivalry,0.7269236,0.0012819648,0.27179447,0.7269236,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,Hedge Funds Had Impeccable Timing Buying Myovant Sciences Ltd. (MYOV),0.9980262,0.0011250373,0.00084869075,0.9980262,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Why NIO Hasn’t Fallen Totally Off the Cliff,0.99083614,0.00071753445,0.99083614,0.008446248,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Conoco Plans Share Buyback That's Almost 50% of Market Value,0.9812418,0.000319395,0.9812418,0.01843883,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,Maire Tecnimont (BIT:MT) Use Of Debt Could Be Considered Risky,0.9843493,0.9843493,0.015453876,0.00019681099,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,$IONS $AKCA $AKCA - Akcea and Ionis launches late-stage AKCEA-TTR-LRx study https://t.co/ybDZfFkp0Z,0.99944323,0.00033579825,0.99944323,0.00022101981,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Coronavirus continues to spread, retailers are feeling the impact",0.97561,0.97561,0.023854332,0.0005356984,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,Job Openings in U.S. Unexpectedly Rose in October to 7.3 Million,0.7791158,0.7791158,0.003460038,0.21742412,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,The Danger Of Deeper OPEC+ Cuts https://t.co/5LPnGN9n4j,0.9845291,0.014984504,0.9845291,0.00048646907,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,GFT Technologies : suspends forecast for the current financial year and reviews dividend p... #GFTTechnologies… https://t.co/xRG1yaFxxE,0.92355543,0.07614858,0.92355543,0.0002958905,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Why Disney+ is the only service that can rival Netflix,0.9602863,0.00023851871,0.9602863,0.039475087,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"$CLLS took profits here .. 

Maybe they'll get bought out soon .. that's what happens lol https://t.co/CnPQQKSZpk",0.99530846,0.00038966277,0.004301863,0.99530846,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,neutral,positive → neutral,Ford invests more in Michigan,0.9981007,0.00020914811,0.9981007,0.0016901752,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,negative,neutral → negative,"Bristol-Myers Squibb reports 33% jump in Q4 revenue, Opdivo sales fall 2%",0.98932743,0.98932743,0.010395284,0.00027727854,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$UCBJF $UCBJF $ABBV - UCB's bimekizumab tops Humira in late-stage psoriasis study https://t.co/LHT1Kd1aTu,0.99833554,0.00023226476,0.001432264,0.99833554,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"Retail Loans To Double To Rs 96 Lakh-Crore In Five Years, Says Crisil",0.99750096,0.0008300819,0.0016689893,0.99750096,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,neutral,negative → neutral,Was Five Star Senior Living Inc.'s (NASDAQ:FVE) Earnings Decline Part Of A Broader Industry Downturn?,0.6875262,0.3117979,0.6875262,0.00067582703,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,$ECONX: January Chicago PMI 42.9 vs 48.7 https://t.co/M9gpUZQoF7 consensus; December 48.9 https://t.co/XIXZuRksHp,0.83454835,0.07670079,0.08875083,0.83454835,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,positive,negative,positive → negative,$GLD $SLV - Gold & Silver Update: December May Be A Bottom. Read more: https://t.co/c0d06nlqQJ #trading #finance #stocks,0.9983923,0.9983923,0.0010537157,0.0005540515,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,negative,positive,negative → positive,EUR/USD Price Forecast – Euro Looks Likely To Break Down,0.9941413,0.0020562352,0.0038024648,0.9941413,TwitterFinancialNewsSentiment
Fine-tuned FinBERT,Internal,neutral,positive,neutral → positive,"At least six firms, including BlackRock and Vanguard, are flocking to the Chinese market https://t.co/49XUMTB3Ud",0.69341856,0.00089384755,0.3056876,0.69341856,TwitterFinancialNewsSentiment
